mlavvaughn,23600728,b'footsies. ? @ Tavern 41 https://t.co/mJ6THdKZna',2018-02-25 20:21:35
TotalTrafficBOS,249393984,b'Accident in #Dorchester on Rt 93 SB after EX 12 - Neponset Cir #traffic https://t.co/AoTr5OKtFq',2018-02-25 15:42:24
JToomey11,242129653,b'Great training partners shown in front &amp; back of me but the #BestTrainingPartner award day after? https://t.co/E1zFiBP0pu',2018-02-25 00:01:53
TotalTrafficBOS,249393984,b'Accident in #Dorchester on Rt 93 NB at EX 13 - Freeport St #traffic https://t.co/AoTr5OKtFq',2018-02-24 16:16:32
TotalTrafficBOS,249393984,b'Accident in #Dorchester on Rt 93 NB at EX 12 - Neponset Cir #traffic https://t.co/AoTr5OKtFq',2018-02-24 15:34:44
minidanjer,197072993,b'Drinking a Soundings by @risingtidebeer @ The Third Deck ? https://t.co/lWEuEscmDM',2018-02-23 01:37:31
Jstruebs,99743356,b'Big thanks to usafabricator for help me me save space and make my @golf_mizuno display look? https://t.co/dvwGZxi5ay',2018-02-22 16:34:34
TotalTrafficBOS,249393984,b'Accident in #Boston on Rt 93 NB at EX 14 - Morrissey Blvd #traffic https://t.co/AoTr5OKtFq',2018-02-22 02:41:34
SynthSei,24781853,"b'Even with a cast, she still beats me...with the railings up at that ?????????? No matter what,? https://t.co/FAorGiaAFx'",2018-02-22 02:18:12
Bizzlite,296677220,"b'#CreativeThinkTank????\n#BJelloePhotography @ Neponset / Port Norfolk, Boston, Massachusetts https://t.co/FxVLO9FFmn'",2018-02-21 23:24:45
TotalTrafficBOS,249393984,"b""Disabled vehicle, right lane blocked in #Dorchester on Rt 93 SB before EX 12 - Neponset Cir, stop and go traffic back to O'Neill Tunl""",2018-02-21 17:53:53
TotalTrafficBOS,249393984,"b'Disabled vehicle, right lane blocked in #Dorchester on Rt 93 SB before EX 12 - Neponset Cir #traffic https://t.co/AoTr5OKtFq'",2018-02-21 17:42:01
TotalTrafficBOS,249393984,"b'Earlier accident in #Dorchester on Expwy NB before EX 13 - Freeport St, stop and go traffic back to E Milton Sq, delay of 9 mins #traffic'",2018-02-21 17:41:20
TotalTrafficBOS,249393984,"b'Accident, left lane blocked in #Dorchester on Expwy NB before EX 13 - Freeport St, stop and go traffic back to E Milton Sq, delay of 9 mins'",2018-02-21 17:22:20
TotalTrafficBOS,249393984,"b'Accident, left lane blocked in #Dorchester on Expwy NB before EX 13 - Freeport St #traffic https://t.co/AoTr5OKtFq'",2018-02-21 17:13:49
PaulNuttingJr,1345472839,b'@jesskowski @universalhub @MassStatePolice  https://t.co/B2brYnzPoN',2018-02-21 00:20:51
ENIGMUE,55633313,"b'#NP #CousinStizz #UpToSomething #OneNightOnly (@ Exquisite Cuts in Dorchester, MA) https://t.co/VjLSEPQuf7 https://t.co/MZw8K75Sf7'",2018-02-20 22:38:09
TotalTrafficBOS,249393984,b'Accident in #Dorchester on Rt 93 NB near EX 12 - Neponset Cir #traffic https://t.co/AoTr5OKtFq',2018-02-17 23:57:49
