BusinessName,ClosingTime,Capacity,Phone,Address,Location,LocationComment
NEW ENGLAND AQUARIUM CORP.,1:00 AM,2400,NULL,"Central Wharf, Boston MA","(42.3591374, -71.04968629999999)",IN WHOLE OF MAIN EXHIBIT BUILDING  IN WHOLE OF IMAX THEATRE  IN WHOLE OF VESSEL DISCOVERY; TENTED AREA CALLED HARBOR TERRACE FROM MAY THROUGH OCTOBER  ALSO HAS A SEASONAL OUTDOOR PATIO ON THE AQUARIUM PLAZA CAFE BETWEEN THE HOURS OF 12:00 PM - 10:00 PM.
"SPEAKEASY CONCEPTS, LLC",2:00 AM,520,NULL,"25 Boylston PL, Boston MA","(42.3519884, -71.0659943)",ENTRANCE AND EXIT AT 120-124 BOYLSTON PLACE; IN THREE ROOMS  KITCHEN AND TWO STORAGE ROOMS IN BASEMENT  WITH AN EXIT IN ALLEY IN RENSAELLER PLACE AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 32 PATRONS.  CAPACITY BREAKDOWN: 520 PERSONS.
"FROST GROUP, LLC",MIDNIGHT,240,NULL,"200 State ST, Boston MA","(42.359955, -71.0531661)",In two rooms on third level with main entrance off ground level of marketplace center via elevator or stairs; emergency stair exit near elevator; space for office  reception  storage and preparation. Capacity Breakdown: 80 persons seated & 160 persons standing.
"EMANUEL ENTERPRISES, LLC",NULL,49,NULL,"71 Meridian St, East Boston MA","(42.3719661, -71.03880099999999)",Entrance on first floor;  one room on first floor with restroom and bar in rear;  one room on second floor with restrooms and bar in rear; egress in rear; storage in basement.  Capacity breakdown: 23 - 1st floor; 26 - 2nd floor.
25 CHARLES ON THE HILL LLC,1:00 AM,0,(617)723-7575,"19 Charles ST, Boston MA","(42.3567002, -71.0697053)",BOUTIQUE HOTEL INCLUDING THIRTEEN (13) GUEST ROOMS  ROOM SERVICE AND RESTAURANT ON FIVE (5) FLOORS. BASEMENT FOR KITCHEN AND STORAGE. FIRST FLOOR RESTAURANT WITH DINING SEATS FOR EIGHTY (80) PATRONS AND BAR SEATING FOR EIGHT (8). SECOND FLOOR GUEST ROOMS AND OUTDOOR TERRACE WITH LOUNGE SEATING. THIR
"Legal Sea Food, LLC",2:00 AM,58,NULL,"Logan Airport, Terminal B, East Boston MA","(42.3645508, -71.0195449)",LOGAN INT'L AIRPORT/TERMINAL B-SPACE KNOWN AS UNIT BB-A15 ON THE FIRST LEVEL OF TERMINAL B CONSISTING OF 1 617 SQUARE FEET.
"COMPASS GROUP USA, INC",NULL,150,(617)561-0211,"500 Logan Airport Terminal E, East Boston MA","(42.37026849999999, -71.0191923)",Premise is a passenger lounge for British Airways with a total square footage of 6 462 sq. ft.  two entrances and exits  a total occupancy number of 150 and maximum seating capacity of 150.
ZAZ RESTAURANT & CATERING CORPORATION,9:30 P.M.,19,(617)272-3083,"1238 River St, Hyde Park MA","(42.2557869, -71.1230923)",ONE LARGE ROOM WITH SEATING AREA IN THE FRONT  KITCHEN IN THE BACK AND BASEMENT FOR STORAGE.  TWO EXITS ARE IN THE FRONT AND ONE IN THE BACK.
"SODEXO OPERATIONS, LLC",2:00 AM,80,NULL,"500 Logan Airport Terminal E, East Boston MA","(42.37026849999999, -71.0191923)",THE VIRGIN ATLANTIC CLUB IS LOCATED IN 500 TERMINAL E WITHIN LOGAN AIRPORT.  THERE ARE (2) ENTRANCES AND EXITS WITHIN APPROXIMATELY 1200 SQ. FT. CLUB LOUNGE.  THERE IS 1 ELEVATOR THAT SERVICES THE TWO LEVELS OF THE CLUB.  THERE IS ONE BAR ON THE PREMISE.  ALCOHOL WILL BE STORED WITHIN A LOCKED CAB
Homestead Bakery & Cafe LLC,11:00 PM,31,(617)894-0436,"1448 Dorchester Av, Dorchester MA","(42.301053, -71.05973)",On the ground floor at 1448 Dorchester Ave in Fields Corner. The ground-floor restaurant is a one-room space  occupying approximately 1 000 sq ft. It will house 31 seats with a commercial kitchen in the rear of the space on the ground floor. There is additional space for storage in the basement.
"Suya Joint, LLC",2:00 AM,84,(508)446-6776,"185 Dudley ST, Roxbury MA","(42.32832130000001, -71.0818577)",Approximately 2 500 square feet of retail space on the street level  The kitchen is located in the right rear portion of the premises directly behind the right entry vestibule and office space and adjacent to the rest rooms. There are two entry vestibules located in the far right and far left portio
Airist Boston Co Inc,2:00 AM,206,(617)866-3561,"500 Logan Airport Terminal E, East Boston MA","(42.37026849999999, -71.0191923)",Airport Business & First Class Premier Lounge. (Air France lounge at Logan Airport Terminal E)
